코드,발송일,유형코드,수량,
227308,20100103,1815, 	200 ,
224067,20100103,1815, 	8 ,
298064,20100104,1878, 	100 ,
297935,20100104,1878, 	38 ,
297932,20100104,1627, 	1 ,
297712,20100104,1261, 	4 ,
297308,20100104,1815, 	28 ,
297308,20100104,1656, 	2 ,
297092,20100104,1878, 	34 ,
296898,20100104,1692, 	173 ,
296722,20100104,1815, 	10 ,
296670,20100104,1815, 	23 ,
296670,20100104,1656, 	5 ,
296626,20100104,1815, 	8 ,
296579,20100104,1815, 	28 ,
296579,20100104,1656, 	5 ,
296575,20100104,1815, 	32 ,
296575,20100104,1656, 	10 ,
296520,20100104,1815, 	68 ,
296520,20100104,1656, 	11 ,
296520,20100104,1041, 	1 ,
296516,20100104,1815, 	31 ,
296516,20100104,1656, 	3 ,
295504,20100104,1815, 	25 ,
295504,20100104,1041, 	8 ,
295306,20100104,1815, 	14 ,
293290,20100104,1853, 	192 ,
289799,20100104,1815, 	24 ,
289799,20100104,1041, 	16 ,
275437,20100104,1692, 	294 ,
275143,20100104,1692, 	240 ,
272415,20100104,1815, 	37 ,
272415,20100104,1692, 	1 ,
272415,20100104,1878, 	7 ,
266112,20100104,1815, 	6 ,
266112,20100104,1692, 	2 ,
266094,20100104,1853, 	3 ,
266094,20100104,1692, 	17 ,
266094,20100104,1878, 	3 ,
265823,20100104,1692, 	1 ,
265771,20100104,1878, 	55 ,
247467,20100104,1261, 	512 ,
247456,20100104,1815, 	116 ,
247456,20100104,1261, 	144 ,
247442,20100104,1815, 	182 ,
247442,20100104,1261, 	362 ,
247434,20100104,1815, 	64 ,
247434,20100104,1261, 	144 ,
230773,20100104,1815, 	7 ,
229878,20100104,1373, 	170 ,
229849,20100104,1815, 	73 ,
229849,20100104,1692, 	41 ,
229849,20100104,1373, 	89 ,
228588,20100104,1815, 	245 ,
228588,20100104,1656, 	1 ,
228588,20100104,1041, 	2 ,
228588,20100104,1261, 	4 ,
227631,20100104,1815, 	111 ,
227631,20100104,1041, 	3 ,
227609,20100104,1396, 	33 ,
227609,20100104,1815," 	6,272 ",
227609,20100104,1656, 	151 ,
227609,20100104,1692, 	190 ,
227609,20100104,1041, 	3 ,
227308,20100104,1242, 	3 ,
227308,20100104,1815, 	42 ,
227308,20100104,1025, 	25 ,
227308,20100104,1800, 	1 ,
227308,20100104,1692, 	144 ,
227308,20100104,1041, 	6 ,
227308,20100104,1878, 	1 ,
227308,20100104,1745, 	3 ,
227308,20100104,1261, 	61 ,
227308,20100104,1373, 	2 ,
226839,20100104,1815, 	119 ,
226839,20100104,1041, 	44 ,
226839,20100104,1878, 	2 ,
226839,20100104,1627, 	3 ,
225750,20100104,1692, 	6 ,
225262,20100104,1815, 	36 ,
225262,20100104,1656, 	1 ,
225262,20100104,1041, 	3 ,
225262,20100104,1878, 	1 ,
224639,20100104,1815, 	351 ,
224639,20100104,1025, 	2 ,
224639,20100104,1656, 	3 ,
224639,20100104,1041, 	18 ,
224639,20100104,1261, 	14 ,
224565,20100104,1355, 	21 ,
224224,20100104,1815, 	20 ,
224144,20100104,1041, 	5 ,
224015,20100104,1355, 	128 ,
222754,20100104,1261, 	2 ,
222193,20100104,1815, 	72 ,
222193,20100104,1261, 	108 ,
297308,20100105,1815, 	19 ,
296898,20100105,1692, 	88 ,
296898,20100105,1261, 	1 ,
296670,20100105,1815, 	17 ,
296670,20100105,1692, 	3 ,
296582,20100105,1815, 	21 ,
296582,20100105,1656, 	5 ,
296557,20100105,1815, 	139 ,
296557,20100105,1656, 	21 ,
296557,20100105,1041, 	1 ,
296538,20100105,1815, 	72 ,
296538,20100105,1656, 	12 ,
296285,20100105,1815, 	30 ,
294496,20100105,1815, 	2 ,
294335,20100105,1815, 	18 ,
294335,20100105,1692, 	74 ,
293290,20100105,1853," 	1,142 ",
289909,20100105,1878, 	1 ,
289843,20100105,1815, 	100 ,
289594,20100105,1815, 	5 ,
289425,20100105,1815, 	31 ,
289425,20100105,1656, 	1 ,
288728,20100105,1815, 	253 ,
288728,20100105,1656, 	3 ,
287903,20100105,1815, 	29 ,
287903,20100105,1656, 	1 ,
284732,20100105,1815, 	50 ,
275437,20100105,1692, 	584 ,
272415,20100105,1815, 	14 ,
272415,20100105,1692, 	1 ,
272415,20100105,1878, 	15 ,
269247,20100105,1041, 	34 ,
266112,20100105,1815, 	6 ,
265731,20100105,1815, 	25 ,
265731,20100105,1656, 	1 ,
265731,20100105,1041, 	31 ,
265731,20100105,1261, 	23 ,
247467,20100105,1261, 	758 ,
247453,20100105,1261, 	544 ,
247445,20100105,1815, 	152 ,
247445,20100105,1261, 	76 ,
247442,20100105,1815, 	80 ,
247442,20100105,1261, 	176 ,
247434,20100105,1815, 	80 ,
247434,20100105,1261, 	69 ,
230773,20100105,1815, 	7 ,
230344,20100105,1815, 	256 ,
230267,20100105,1815, 	4 ,
230267,20100105,1692, 	1 ,
230025,20100105,1815, 	6 ,
229856,20100105,1815, 	190 ,
229856,20100105,1692, 	64 ,
227642,20100105,1815, 	10 ,
227631,20100105,1815, 	352 ,
227631,20100105,1025, 	1 ,
227631,20100105,1656, 	3 ,
227631,20100105,1692, 	1 ,
227631,20100105,1216, 	2 ,
227631,20100105,1041, 	8 ,
227631,20100105,1261, 	7 ,
227631,20100105,1373, 	1 ,
227609,20100105,1396, 	29 ,
227609,20100105,1815," 	6,294 ",
227609,20100105,1656, 	149 ,
227609,20100105,1692, 	240 ,
227308,20100105,1242, 	12 ,
227308,20100105,1025, 	31 ,
227308,20100105,1800, 	2 ,
227308,20100105,1692, 	91 ,
227308,20100105,1041, 	22 ,
227308,20100105,1261, 	31 ,
227308,20100105,1373, 	3 ,
226901,20100105,1878, 	2 ,
226875,20100105,1815, 	24 ,
226318,20100105,1815, 	38 ,
226318,20100105,1041, 	11 ,
225746,20100105,1692, 	3 ,
225739,20100105,1242, 	2 ,
225739,20100105,1815," 	1,581 ",
225739,20100105,1025, 	18 ,
225739,20100105,1656, 	25 ,
225739,20100105,1692, 	178 ,
225739,20100105,1041, 	65 ,
225739,20100105,1261, 	109 ,
225739,20100105,1373, 	2 ,
225262,20100105,1815, 	68 ,
225262,20100105,1656, 	1 ,
225262,20100105,1041, 	1 ,
225262,20100105,1261, 	20 ,
224455,20100105,1815, 	6 ,
223880,20100105,1815, 	9 ,
223880,20100105,1692, 	9 ,
223685,20100105,1815, 	26 ,
223685,20100105,1878, 	8 ,
223685,20100105,1627, 	2 ,
223429,20100105,1261, 	2 ,
222501,20100105,1041, 	10 ,
222167,20100105,1815, 	2 ,
220961,20100105,1815, 	25 ,
220323,20100105,1797, 	192 ,
297745,20100106,1815, 	68 ,
296898,20100106,1692, 	127 ,
296703,20100106,1815, 	192 ,
296670,20100106,1815, 	12 ,
296652,20100106,1815, 	58 ,
296652,20100106,1656, 	12 ,
296619,20100106,1815, 	44 ,
296619,20100106,1656, 	17 ,
296619,20100106,1041, 	2 ,
296601,20100106,1815, 	22 ,
296601,20100106,1656, 	4 ,
296579,20100106,1815, 	6 ,
296575,20100106,1815, 	29 ,
296575,20100106,1656, 	5 ,
296546,20100106,1815, 	51 ,
296546,20100106,1656, 	5 ,
296516,20100106,1815, 	28 ,
296516,20100106,1656, 	2 ,
296285,20100106,1815, 	30 ,
295684,20100106,1878, 	53 ,
295684,20100106,1627, 	4 ,
294016,20100106,1815, 	30 ,
293290,20100106,1853, 	384 ,
292663,20100106,1815, 	61 ,
292663,20100106,1041, 	45 ,
292487,20100106,1815, 	78 ,
292487,20100106,1656, 	1 ,
292487,20100106,1041, 	1 ,
289843,20100106,1216, 	17 ,
289843,20100106,1041, 	18 ,
289843,20100106,1797, 	1 ,
289843,20100106,1261, 	324 ,
289425,20100106,1815, 	16 ,
287694,20100106,1815, 	2 ,
287694,20100106,1692, 	138 ,
287636,20100106,1041, 	172 ,
286506,20100106,1815, 	167 ,
286506,20100106,1656, 	1 ,
286506,20100106,1692, 	10 ,
286506,20100106,1041, 	5 ,
286506,20100106,1261, 	1 ,
286272,20100106,1815, 	47 ,
284724,20100106,1815, 	10 ,
284064,20100106,1261, 	14 ,
275437,20100106,1692, 	292 ,
275143,20100106,1692, 	120 ,
272415,20100106,1815, 	13 ,
272415,20100106,1878, 	11 ,
266138,20100106,1692, 	82 ,
266138,20100106,1878, 	1 ,
266138,20100106,1627, 	1 ,
266112,20100106,1815, 	11 ,
266112,20100106,1692, 	1 ,
266112,20100106,1041, 	1 ,
266112,20100106,1878, 	4 ,
265823,20100106,1692, 	1 ,
265731,20100106,1815, 	16 ,
265731,20100106,1692, 	3 ,
265731,20100106,1041, 	20 ,
265698,20100106,1815, 	1 ,
265698,20100106,1878, 	2 ,
247467,20100106,1261, 	512 ,
247453,20100106,1261, 	522 ,
247445,20100106,1815, 	108 ,
247445,20100106,1261, 	114 ,
247438,20100106,1815, 	405 ,
247438,20100106,1261, 	80 ,
230773,20100106,1815, 	1 ,
230509,20100106,1373, 	12 ,
230447,20100106,1692, 	4 ,
229878,20100106,1878, 	12 ,
229878,20100106,1261, 	12 ,
229878,20100106,1373, 	176 ,
229875,20100106,1815, 	8 ,
229856,20100106,1815, 	157 ,
229856,20100106,1656, 	1 ,
229856,20100106,1692, 	32 ,
229856,20100106,1261, 	2 ,
229856,20100106,1373, 	64 ,
228159,20100106,1815, 	29 ,
228159,20100106,1656, 	2 ,
228159,20100106,1692, 	12 ,
228159,20100106,1041, 	14 ,
228159,20100106,1261, 	13 ,
228082,20100106,1815, 	89 ,
228082,20100106,1656, 	1 ,
227645,20100106,1815, 	48 ,
227645,20100106,1656, 	1 ,
227645,20100106,1692, 	18 ,
227645,20100106,1041, 	50 ,
227645,20100106,1878, 	2 ,
227631,20100106,1815, 	152 ,
227631,20100106,1656, 	1 ,
227631,20100106,1041, 	1 ,
227609,20100106,1396, 	48 ,
227609,20100106,1815," 	4,966 ",
227609,20100106,1656, 	94 ,
227609,20100106,1692, 	2 ,
227308,20100106,1242, 	5 ,
227308,20100106,1025, 	5 ,
227308,20100106,1800, 	2 ,
227308,20100106,1692, 	105 ,
227308,20100106,1041, 	6 ,
227308,20100106,1261, 	52 ,
227308,20100106,1373, 	3 ,
226358,20100106,1815, 	192 ,
225753,20100106,1815, 	9 ,
225753,20100106,1692, 	1 ,
225746,20100106,1692, 	2 ,
225739,20100106,1815," 	1,183 ",
225739,20100106,1025, 	12 ,
225739,20100106,1656, 	35 ,
225739,20100106,1692, 	289 ,
225739,20100106,1041, 	41 ,
225739,20100106,1261, 	68 ,
225739,20100106,1373, 	12 ,
224983,20100106,1815, 	12 ,
224639,20100106,1815, 	64 ,
224639,20100106,1656, 	2 ,
224639,20100106,1041, 	4 ,
224455,20100106,1815, 	9 ,
223880,20100106,1815, 	13 ,
222167,20100106,1815, 	1 ,
221606,20100106,1815, 	10 ,
221262,20100106,1815, 	8 ,
297803,20100107,1815, 	102 ,
297704,20100107,1692, 	255 ,
297308,20100107,1396, 	1 ,
297308,20100107,1815, 	8 ,
297308,20100107,1656, 	1 ,
297096,20100107,1878, 	63 ,
297096,20100107,1627, 	2 ,
297092,20100107,1878, 	102 ,
296949,20100107,1692, 	210 ,
296898,20100107,1692, 	102 ,
296832,20100107,1815, 	89 ,
296832,20100107,1692, 	16 ,
296670,20100107,1815, 	8 ,
296612,20100107,1815, 	98 ,
296612,20100107,1656, 	9 ,
296564,20100107,1815, 	141 ,
296564,20100107,1656, 	19 ,
296524,20100107,1815, 	60 ,
296524,20100107,1656, 	9 ,
296516,20100107,1815, 	1 ,
296516,20100107,1656, 	1 ,
296304,20100107,1396, 	4 ,
296304,20100107,1815," 	1,005 ",
296304,20100107,1656, 	1 ,
296304,20100107,1692, 	117 ,
296304,20100107,1041, 	10 ,
296304,20100107,1261, 	5 ,
294844,20100107,1797, 	2 ,
294844,20100107,1261, 	21 ,
294588,20100107,1041, 	8 ,
293290,20100107,1853, 	192 ,
289843,20100107,1815, 	100 ,
289843,20100107,1025, 	25 ,
289843,20100107,1216, 	104 ,
289843,20100107,1041, 	134 ,
289843,20100107,1797, 	7 ,
289843,20100107,1261, 	278 ,
289843,20100107,1373, 	16 ,
289425,20100107,1815, 	14 ,
288970,20100107,1815, 	2 ,
287130,20100107,1815, 	360 ,
286778,20100107,1396, 	2 ,
286778,20100107,1815, 	158 ,
286473,20100107,1041, 	7 ,
286356,20100107,1815, 	19 ,
286356,20100107,1656, 	1 ,
285975,20100107,1815, 	10 ,
275433,20100107,1692, 	268 ,
275433,20100107,1041, 	2 ,
275433,20100107,1373, 	2 ,
272415,20100107,1815, 	25 ,
272415,20100107,1692, 	2 ,
272415,20100107,1878, 	1 ,
269255,20100107,1815, 	122 ,
266112,20100107,1853, 	5 ,
266112,20100107,1815, 	11 ,
266112,20100107,1692, 	4 ,
266094,20100107,1853, 	41 ,
266094,20100107,1692, 	7 ,
266094,20100107,1355, 	1 ,
265848,20100107,1815, 	150 ,
265731,20100107,1815, 	17 ,
265731,20100107,1692, 	3 ,
265731,20100107,1041, 	20 ,
265731,20100107,1261, 	2 ,
265702,20100107,1692, 	7 ,
247467,20100107,1261, 	525 ,
247456,20100107,1815, 	100 ,
247456,20100107,1261, 	160 ,
247453,20100107,1261, 	208 ,
247449,20100107,1815, 	113 ,
247449,20100107,1261, 	71 ,
247445,20100107,1815, 	108 ,
247445,20100107,1261, 	114 ,
247442,20100107,1815, 	84 ,
247442,20100107,1261, 	172 ,
247438,20100107,1261, 	256 ,
247423,20100107,1815, 	75 ,
247423,20100107,1261, 	150 ,
230813,20100107,1041, 	9 ,
230755,20100107,1815, 	80 ,
230491,20100107,1815, 	1 ,
230491,20100107,1041, 	15 ,
230491,20100107,1797, 	2 ,
230344,20100107,1815, 	255 ,
230344,20100107,1656, 	1 ,
230318,20100107,1815, 	35 ,
230318,20100107,1878, 	151 ,
230183,20100107,1041, 	93 ,
230183,20100107,1797, 	7 ,
230183,20100107,1261, 	14 ,
229882,20100107,1815, 	124 ,
229882,20100107,1692, 	80 ,
229882,20100107,1373, 	24 ,
229867,20100107,1396, 	1 ,
229867,20100107,1815, 	17 ,
229867,20100107,1692, 	160 ,
229849,20100107,1692, 	38 ,
229849,20100107,1373, 	121 ,
228159,20100107,1815, 	9 ,
227631,20100107,1815, 	165 ,
227631,20100107,1025, 	1 ,
227631,20100107,1041, 	2 ,
227609,20100107,1396, 	26 ,
227609,20100107,1815," 	4,705 ",
227609,20100107,1656, 	75 ,
227609,20100107,1692, 	141 ,
227609,20100107,1041, 	1 ,
227583,20100107,1815, 	14 ,
227308,20100107,1242, 	2 ,
227308,20100107,1815, 	33 ,
227308,20100107,1025, 	14 ,
227308,20100107,1656, 	2 ,
227308,20100107,1800, 	1 ,
227308,20100107,1692, 	78 ,
227308,20100107,1041, 	5 ,
227308,20100107,1745, 	7 ,
227308,20100107,1261, 	28 ,
227308,20100107,1373, 	4 ,
226901,20100107,1815, 	19 ,
226901,20100107,1878, 	8 ,
226875,20100107,1815, 	40 ,
225746,20100107,1692, 	1 ,
225739,20100107,1815," 	1,012 ",
225739,20100107,1025, 	2 ,
225739,20100107,1692, 	52 ,
225739,20100107,1041, 	2 ,
225739,20100107,1261, 	5 ,
225739,20100107,1373, 	2 ,
225192,20100107,1815, 	156 ,
225002,20100107,1815, 	30 ,
224983,20100107,1815, 	6 ,
224576,20100107,1815, 	20 ,
224067,20100107,1815, 	12 ,
224015,20100107,1355, 	128 ,
223880,20100107,1815, 	5 ,
223869,20100107,1815, 	10 ,
222501,20100107,1041, 	2 ,
222193,20100107,1815, 	90 ,
222193,20100107,1261, 	90 ,
222167,20100107,1815, 	2 ,
221988,20100107,1815, 	192 ,
221797,20100107,1853, 	200 ,
221148,20100107,1815, 	10 ,
220466,20100107,1815, 	10 ,
297946,20100108,1692, 	252 ,
297847,20100108,1041, 	256 ,
297308,20100108,1815, 	7 ,
297308,20100108,1656, 	1 ,
297107,20100108,1627, 	115 ,
296909,20100108,1091, 	83 ,
296898,20100108,1692, 	152 ,
296722,20100108,1815, 	20 ,
296722,20100108,1692, 	375 ,
296703,20100108,1396, 	4 ,
296703,20100108,1815, 	188 ,
296670,20100108,1815, 	19 ,
296670,20100108,1656, 	2 ,
296641,20100108,1396, 	2 ,
296641,20100108,1815, 	149 ,
296641,20100108,1656, 	26 ,
296641,20100108,1800, 	1 ,
296626,20100108,1815, 	23 ,
296626,20100108,1656, 	4 ,
296604,20100108,1815, 	155 ,
296604,20100108,1656, 	20 ,
296579,20100108,1815, 	26 ,
296579,20100108,1656, 	2 ,
296502,20100108,1853, 	26 ,
296498,20100108,1853, 	131 ,
296491,20100108,1815, 	30 ,
296285,20100108,1815, 	20 ,
296157,20100108,1815, 	30 ,
296157,20100108,1692, 	1 ,
296157,20100108,1797, 	1 ,
295724,20100108,1815, 	150 ,
295490,20100108,1815, 	4 ,
294588,20100108,1041, 	2 ,
294335,20100108,1815, 	23 ,
294335,20100108,1692, 	11 ,
292234,20100108,1815, 	15 ,
289909,20100108,1878, 	1 ,
289843,20100108,1815, 	288 ,
289843,20100108,1692, 	252 ,
289535,20100108,1692, 	50 ,
289425,20100108,1815, 	26 ,
288827,20100108,1878, 	88 ,
287694,20100108,1815, 	1 ,
287694,20100108,1692, 	77 ,
286781,20100108,1815, 	15 ,
286715,20100108,1815, 	38 ,
285975,20100108,1815, 	10 ,
285051,20100108,1815, 	1 ,
284809,20100108,1815, 	10 ,
284589,20100108,1815, 	14 ,
275143,20100108,1815, 	12 ,
275143,20100108,1656, 	1 ,
275143,20100108,1692, 	200 ,
272415,20100108,1815, 	18 ,
272415,20100108,1692, 	2 ,
272415,20100108,1878, 	8 ,
266112,20100108,1815, 	6 ,
266112,20100108,1692, 	13 ,
266112,20100108,1878, 	9 ,
266079,20100108,1692, 	17 ,
265870,20100108,1815, 	2 ,
265870,20100108,1261, 	1 ,
265823,20100108,1878, 	1 ,
265731,20100108,1815, 	11 ,
265731,20100108,1041, 	23 ,
265731,20100108,1261, 	4 ,
247467,20100108,1261, 	512 ,
247456,20100108,1815, 	132 ,
247456,20100108,1261, 	128 ,
247445,20100108,1815, 	18 ,
247445,20100108,1261, 	209 ,
247442,20100108,1815, 	155 ,
247442,20100108,1656, 	2 ,
247442,20100108,1261, 	339 ,
247438,20100108,1815, 	90 ,
247438,20100108,1261, 	160 ,
247434,20100108,1815, 	96 ,
247434,20100108,1261, 	96 ,
230810,20100108,1815, 	2 ,
230810,20100108,1041, 	5 ,
230791,20100108,1815, 	4 ,
230773,20100108,1815, 	8 ,
230740,20100108,1815, 	23 ,
230740,20100108,1692, 	131 ,
230740,20100108,1261, 	6 ,
230527,20100108,1373, 	3 ,
230344,20100108,1815, 	62 ,
230344,20100108,1656, 	92 ,
230344,20100108,1692, 	96 ,
230344,20100108,1041, 	3 ,
230344,20100108,1261, 	3 ,
230267,20100108,1815, 	20 ,
230267,20100108,1692, 	5 ,
229867,20100108,1815, 	36 ,
229867,20100108,1692, 	200 ,
229867,20100108,1373, 	126 ,
229856,20100108,1815, 	32 ,
229856,20100108,1692, 	161 ,
229856,20100108,1373, 	67 ,
229849,20100108,1815, 	78 ,
229849,20100108,1692, 	14 ,
229849,20100108,1373, 	44 ,
229798,20100108,1692, 	53 ,
228870,20100108,1815, 	5 ,
227645,20100108,1815, 	32 ,
227645,20100108,1692, 	30 ,
227645,20100108,1041, 	6 ,
227645,20100108,1878, 	2 ,
227631,20100108,1242, 	1 ,
227631,20100108,1815, 	43 ,
227631,20100108,1025, 	1 ,
227631,20100108,1656, 	5 ,
227609,20100108,1396, 	49 ,
227609,20100108,1815," 	5,761 ",
227609,20100108,1656, 	113 ,
227609,20100108,1692, 	128 ,
227557,20100108,1815, 	2 ,
227308,20100108,1242, 	4 ,
227308,20100108,1025, 	4 ,
227308,20100108,1656, 	25 ,
227308,20100108,1800, 	3 ,
227308,20100108,1692, 	79 ,
227308,20100108,1041, 	5 ,
227308,20100108,1878, 	1 ,
227308,20100108,1261, 	38 ,
227308,20100108,1373, 	1 ,
226875,20100108,1815, 	30 ,
226366,20100108,1692, 	14 ,
225750,20100108,1692, 	14 ,
225750,20100108,1878, 	5 ,
225746,20100108,1692, 	11 ,
225746,20100108,1878, 	10 ,
225739,20100108,1815, 	171 ,
225739,20100108,1025, 	1 ,
225739,20100108,1656, 	1 ,
225739,20100108,1041, 	5 ,
225739,20100108,1261, 	2 ,
225702,20100108,1373, 	51 ,
225262,20100108,1815, 	100 ,
225262,20100108,1656, 	7 ,
224639,20100108,1815, 	108 ,
224639,20100108,1025, 	1 ,
224639,20100108,1656, 	2 ,
224639,20100108,1692, 	1 ,
224639,20100108,1041, 	19 ,
224639,20100108,1261, 	1 ,
224455,20100108,1815, 	6 ,
224144,20100108,1041, 	5 ,
224144,20100108,1797, 	32 ,
223880,20100108,1815, 	3 ,
223088,20100108,1878, 	139 ,
222934,20100108,1853, 	48 ,
222167,20100108,1815, 	5 ,
297712,20100109,1261, 	1 ,
297444,20100109,1815, 	106 ,
297444,20100109,1656, 	10 ,
297308,20100109,1815, 	8 ,
297308,20100109,1656, 	3 ,
297261,20100109,1373, 	160 ,
297187,20100109,1815, 	58 ,
296898,20100109,1692, 	100 ,
296670,20100109,1815, 	2 ,
296601,20100109,1815, 	10 ,
296601,20100109,1656, 	4 ,
296546,20100109,1815, 	33 ,
296546,20100109,1656, 	4 ,
296516,20100109,1815, 	43 ,
296516,20100109,1656, 	2 ,
296509,20100109,1815, 	20 ,
296491,20100109,1815, 	27 ,
296491,20100109,1041, 	3 ,
296304,20100109,1396, 	3 ,
296304,20100109,1815, 	476 ,
296304,20100109,1656, 	1 ,
296135,20100109,1692, 	94 ,
294797,20100109,1815, 	10 ,
289843,20100109,1815, 	740 ,
289425,20100109,1815, 	14 ,
287878,20100109,1815, 	10 ,
287196,20100109,1815, 	192 ,
287130,20100109,1815, 	212 ,
285106,20100109,1815, 	37 ,
285106,20100109,1041, 	1 ,
284732,20100109,1815, 	10 ,
275444,20100109,1692, 	154 ,
275444,20100109,1355, 	192 ,
275444,20100109,1878, 	256 ,
275444,20100109,1745, 	6 ,
275143,20100109,1815, 	1 ,
275143,20100109,1692, 	10 ,
272415,20100109,1815, 	19 ,
272415,20100109,1878, 	24 ,
266112,20100109,1815, 	1 ,
266112,20100109,1692, 	1 ,
265731,20100109,1815, 	2 ,
247467,20100109,1261, 	271 ,
247445,20100109,1815, 	115 ,
247445,20100109,1656, 	1 ,
247445,20100109,1261, 	114 ,
247431,20100109,1815, 	192 ,
247431,20100109,1261, 	96 ,
230773,20100109,1815, 	2 ,
230267,20100109,1815, 	5 ,
230267,20100109,1692, 	1 ,
230267,20100109,1041, 	1 ,
230223,20100109,1815, 	201 ,
230223,20100109,1656, 	23 ,
229875,20100109,1815, 	6 ,
229867,20100109,1815, 	4 ,
229867,20100109,1692, 	352 ,
229856,20100109,1815, 	255 ,
229856,20100109,1041, 	1 ,
228588,20100109,1815, 	209 ,
228588,20100109,1656, 	3 ,
228588,20100109,1041, 	4 ,
228588,20100109,1261, 	36 ,
228419,20100109,1815, 	115 ,
228159,20100109,1815, 	21 ,
228159,20100109,1692, 	7 ,
228159,20100109,1041, 	16 ,
228159,20100109,1261, 	6 ,
227631,20100109,1815, 	28 ,
227631,20100109,1656, 	1 ,
227631,20100109,1041, 	1 ,
227609,20100109,1396, 	28 ,
227609,20100109,1815," 	3,928 ",
227609,20100109,1656, 	68 ,
227583,20100109,1815, 	3 ,
227308,20100109,1242, 	8 ,
227308,20100109,1815, 	228 ,
227308,20100109,1025, 	18 ,
227308,20100109,1800, 	1 ,
227308,20100109,1692, 	52 ,
227308,20100109,1041, 	7 ,
227308,20100109,1878, 	1 ,
227308,20100109,1745, 	5 ,
227308,20100109,1261, 	50 ,
227308,20100109,1373, 	1 ,
226875,20100109,1815, 	10 ,
226729,20100109,1815, 	210 ,
226729,20100109,1692, 	8 ,
226729,20100109,1041, 	10 ,
225750,20100109,1692, 	16 ,
225746,20100109,1692, 	8 ,
225739,20100109,1242, 	1 ,
225739,20100109,1815, 	87 ,
225739,20100109,1025, 	12 ,
225739,20100109,1656, 	21 ,
225739,20100109,1692, 	204 ,
225739,20100109,1041, 	26 ,
