코드,발송일,유형코드,수량,
297187,20100101,1815, 	26 ,
296285,20100101,1815, 	30 ,
289843,20100101,1815, 	200 ,
284064,20100101,1261, 	15 ,
230773,20100101,1815, 	2 ,
227609,20100101,1396, 	20 ,
227609,20100101,1815," 	4,292 ",
227609,20100101,1656, 	75 ,
226333,20100101,1815, 	2 ,
224455,20100101,1815, 	2 ,
224144,20100101,1041, 	5 ,
224067,20100101,1815, 	10 ,
297946,20100102,1692, 	171 ,
297946,20100102,1373, 	2 ,
297308,20100102,1815, 	11 ,
297308,20100102,1656, 	2 ,
296898,20100102,1692, 	166 ,
296670,20100102,1815, 	16 ,
296670,20100102,1656, 	4 ,
296626,20100102,1815, 	6 ,
296626,20100102,1656, 	1 ,
296582,20100102,1815, 	26 ,
296582,20100102,1656, 	1 ,
296546,20100102,1396, 	1 ,
296546,20100102,1815, 	32 ,
296546,20100102,1656, 	5 ,
296516,20100102,1815, 	17 ,
296516,20100102,1656, 	1 ,
289843,20100102,1815, 	555 ,
289843,20100102,1656, 	5 ,
289425,20100102,1815, 	32 ,
288981,20100102,1815, 	11 ,
286506,20100102,1815, 	19 ,
286506,20100102,1656, 	1 ,
286506,20100102,1692, 	3 ,
286506,20100102,1041, 	2 ,
286506,20100102,1261, 	1 ,
272415,20100102,1815, 	22 ,
272415,20100102,1878, 	6 ,
266112,20100102,1853, 	4 ,
266112,20100102,1815, 	2 ,
266112,20100102,1878, 	2 ,
265731,20100102,1815, 	18 ,
265731,20100102,1692, 	4 ,
265731,20100102,1216, 	2 ,
265731,20100102,1041, 	25 ,
265731,20100102,1797, 	1 ,
265731,20100102,1261, 	11 ,
247467,20100102,1815, 	1 ,
247467,20100102,1261, 	767 ,
247453,20100102,1261, 	256 ,
230553,20100102,1692, 	22 ,
230553,20100102,1041, 	29 ,
229057,20100102,1815, 	19 ,
229057,20100102,1800, 	2 ,
229057,20100102,1041, 	14 ,
229057,20100102,1878, 	10 ,
228588,20100102,1815, 	182 ,
228588,20100102,1656, 	1 ,
228588,20100102,1261, 	69 ,
228159,20100102,1396, 	2 ,
228159,20100102,1815, 	2 ,
228159,20100102,1656, 	4 ,
228159,20100102,1692, 	7 ,
228159,20100102,1041, 	11 ,
227631,20100102,1815, 	40 ,
227609,20100102,1396, 	30 ,
227609,20100102,1815," 	6,852 ",
227609,20100102,1656, 	123 ,
227378,20100102,1815, 	22 ,
227308,20100102,1025, 	24 ,
227308,20100102,1800, 	1 ,
227308,20100102,1692, 	91 ,
227308,20100102,1041, 	2 ,
227308,20100102,1261, 	82 ,
227308,20100102,1373, 	1 ,
225750,20100102,1692, 	2 ,
225746,20100102,1692, 	16 ,
225739,20100102,1242, 	5 ,
225739,20100102,1815, 	633 ,
225739,20100102,1025, 	39 ,
225739,20100102,1656, 	19 ,
225739,20100102,1692, 	302 ,
225739,20100102,1041, 	56 ,
225739,20100102,1878, 	1 ,
225739,20100102,1261, 	204 ,
225739,20100102,1373, 	6 ,
225262,20100102,1815, 	161 ,
225262,20100102,1041, 	8 ,
225262,20100102,1797, 	3 ,
225262,20100102,1261, 	16 ,
224433,20100102,1815, 	2 ,
224433,20100102,1041, 	6 ,
224433,20100102,1797, 	3 ,
224433,20100102,1878, 	6 ,
224433,20100102,1261, 	1 ,
224433,20100102,1373, 	36 ,
224433,20100102,1091, 	38 ,
223502,20100102,1815, 	20 ,
223502,20100102,1692, 	60 ,
222589,20100102,1261, 	22 ,
222501,20100102,1041, 	4 ,
222167,20100102,1815, 	3 ,
289843,20100103,1815, 	200 ,
227609,20100103,1815, 	221 ,
