코드,발송일,유형코드,수량,
466200,20110804,1878,20,
466200,20110808,1878,2,
466200,20110815,1692,1,
466200,20110815,1878,12,
466200,20110822,1878,2,
466200,20110901,1815,3,
466200,20110901,1878,56,
466200,20110905,1878,1,
466200,20110919,1853,3,
466200,20110919,1692,5,
466200,20110919,1041,2,
466200,20110919,1878,46,
466200,20110926,1878,1,
466200,20110929,1815,3,
466200,20110929,1878,16,
466200,20111010,1878,28,
466200,20111017,1878,2,
466200,20111024,1853,1,
466200,20111024,1815,3,
466200,20111024,1878,19,
466200,20111027,1878,2,
466200,20111107,1041,1,
466200,20111107,1878,39,
466200,20111107,1627,2,
466200,20111110,1878,2,
466200,20111117,1853,1,
466200,20111117,1815,1,
466200,20111117,1878,32,
466200,20111128,1692,1,
466200,20111205,1878,2,
466200,20111212,1815,1,
466200,20111212,1692,1,
466200,20111212,1878,61,
466200,20111215,1815,1,
466200,20111230,1815,3,
466200,20111230,1878,27,
466198,20110811,1373,1,
466198,20110905,1373,1,
466198,20110915,1091,1,
466198,20110919,1373,1,
466198,20111010,1373,1,
466198,20111121,1373,1,
466198,20111205,1373,3,
466197,20110816,1373,6,
466197,20110822,1373,1,
466197,20110905,1373,2,
466197,20111003,1373,6,
466197,20111010,1373,1,
466197,20111017,1373,1,
466197,20111024,1373,2,
466197,20111031,1373,1,
466197,20111107,1373,1,
466197,20111121,1373,1,
466197,20111128,1373,1,
466197,20111205,1373,2,
466197,20111212,1373,1,
466197,20111219,1373,5,
466197,20111226,1373,1,
466196,20110810,1373,5,
466196,20110824,1373,1,
466196,20110831,1373,14,
466196,20110907,1373,1,
466196,20110921,1373,16,
466196,20111005,1373,9,
466196,20111019,1373,15,
466196,20111026,1373,3,
466196,20111116,1373,16,
466196,20111130,1373,12,
466196,20111214,1373,15,
466196,20111221,1373,3,
466196,20111228,1373,2,
466189,20110816,1815,1,
466189,20110816,1878,4,
466189,20110901,1627,1,
466189,20110915,1878,5,
466189,20110929,1878,3,
466189,20111013,1878,1,
466189,20111027,1878,1,
466189,20111117,1878,1,
466189,20111213,1878,1,
466189,20111220,1878,1,
466189,20111229,1815,1,
466185,20110922,1878,1,
466185,20110922,1627,5,
466185,20111006,1878,1,
466185,20111013,1878,2,
466185,20111013,1627,1,
466185,20111103,1878,2,
466185,20111124,1627,1,
466185,20111201,1627,2,
466185,20111223,1878,1,
466185,20111229,1878,1,
466184,20110802,1041,1,
466184,20110804,1041,1,
466184,20110809,1041,1,
466184,20110811,1041,34,
466184,20110813,1041,2,
466184,20110816,1041,1,
466184,20110818,1041,25,
466184,20110820,1041,4,
466184,20110825,1815,2,
466184,20110825,1041,28,
466184,20110901,1041,45,
466184,20110903,1041,9,
466184,20110906,1041,1,
466184,20110908,1041,37,
466184,20110910,1041,3,
466184,20110915,1815,1,
466184,20110915,1041,39,
466184,20110922,1041,25,
466184,20110924,1041,3,
