코드,발송일,유형코드,수량,
466200,20100106,1878,12,
466200,20100111,1878,26,
466200,20100120,1815,2,
466200,20100120,1878,15,
466200,20100126,1815,2,
466200,20100126,1878,9,
466200,20100202,1878,18,
466200,20100211,1815,1,
466200,20100211,1878,21,
466200,20100218,1692,1,
466200,20100218,1878,10,
466200,20100222,1878,18,
466200,20100227,1878,27,
466200,20100306,1878,24,
466200,20100316,1692,1,
466200,20100316,1878,20,
466200,20100319,1878,20,
466200,20100330,1878,21,
466200,20100409,1878,27,
466200,20100409,1627,1,
466200,20100513,1815,3,
466200,20100513,1878,69,
466200,20100513,1627,1,
466200,20100517,1815,2,
466200,20100517,1692,1,
466200,20100522,1878,42,
466200,20100610,1815,1,
466200,20100610,1878,72,
466200,20100610,1627,2,
466200,20100619,1878,32,
466200,20100624,1815,1,
466200,20100624,1878,15,
466200,20100708,1878,40,
466200,20100719,1878,25,
466200,20100729,1878,22,
466198,20100120,1373,1,
466198,20100125,1373,1,
466198,20100130,1373,1,
466198,20100204,1373,2,
466198,20100220,1373,1,
466198,20100306,1373,1,
466198,20100320,1373,1,
466198,20100329,1373,3,
466198,20100403,1373,1,
466198,20100407,1373,1,
466198,20100412,1373,1,
466198,20100505,1373,4,
466198,20100515,1373,1,
466198,20100519,1373,1,
466198,20100524,1373,2,
466198,20100529,1373,1,
466198,20100607,1373,9,
466198,20100612,1373,1,
466198,20100616,1373,1,
466198,20100621,1373,1,
466198,20100626,1373,1,
466198,20100630,1373,1,
466198,20100705,1373,1,
466198,20100710,1373,1,
466198,20100714,1373,2,
466198,20100724,1373,1,
466197,20100113,1373,3,
466197,20100120,1373,1,
466197,20100127,1373,2,
466197,20100203,1373,1,
466197,20100210,1373,1,
466197,20100224,1373,4,
466197,20100312,1373,5,
466197,20100326,1373,6,
466197,20100409,1373,3,
466197,20100416,1373,1,
466197,20100423,1373,1,
466197,20100430,1373,2,
466197,20100507,1373,1,
466197,20100514,1373,1,
466197,20100525,1373,2,
466197,20100607,1373,4,
466197,20100630,1373,5,
466197,20100705,1373,4,
466197,20100719,1373,2,
466197,20100726,1373,1,
466196,20100106,1373,4,
466196,20100120,1373,4,
466196,20100127,1373,16,
466196,20100203,1373,2,
466196,20100210,1373,6,
466196,20100217,1373,1,
466196,20100224,1373,5,
466196,20100303,1373,2,
466196,20100317,1373,7,
466196,20100331,1373,7,
466196,20100421,1373,34,
466196,20100512,1373,13,
466196,20100519,1373,11,
466196,20100526,1373,7,
466196,20100602,1373,5,
466196,20100609,1373,4,
466196,20100616,1373,8,
466196,20100623,1373,6,
466196,20100701,1373,1,
466196,20100707,1373,5,
466196,20100714,1373,3,
466196,20100721,1373,2,
466196,20100728,1373,2,
466195,20100109,1815,1,
466195,20100424,1815,1,
466195,20100522,1815,1,
466189,20100105,1041,1,
466189,20100105,1878,1,
466189,20100111,1041,2,
466189,20100111,1878,1,
466189,20100115,1878,2,
466189,20100118,1041,1,
466189,20100118,1878,2,
466189,20100208,1041,1,
466189,20100208,1878,5,
466189,20100218,1878,1,
466189,20100302,1878,1,
466189,20100308,1041,5,
466189,20100308,1878,9,
466189,20100311,1878,1,
466189,20100315,1041,3,
466189,20100322,1878,1,
466189,20100325,1878,11,
466189,20100408,1878,12,
466189,20100429,1041,1,
466189,20100513,1041,3,
466189,20100624,1878,4,
466189,20100729,1878,1,
466188,20100309,1373,25,
466188,20100422,1041,2,
466188,20100701,1041,1,
466185,20100112,1878,1,
466185,20100119,1627,2,
466185,20100202,1878,1,
466185,20100302,1627,1,
466185,20100316,1627,1,
466185,20100413,1627,1,
466185,20100504,1627,1,
466185,20100601,1627,1,
466185,20100608,1627,2,
466185,20100622,1878,1,
466185,20100622,1627,2,
466184,20100107,1815,1,
466184,20100109,1041,1,
