코드,발송일,유형코드,수량,
466200,20120116,1815,4,
466200,20120116,1692,1,
466200,20120116,1878,34,
466200,20120130,1878,18,
466200,20120209,1878,1,
466200,20120220,1692,1,
466200,20120220,1878,28,
466200,20120227,1853,2,
466200,20120227,1041,2,
466200,20120302,1692,1,
466200,20120308,1815,1,
466200,20120308,1878,40,
466200,20120313,1878,2,
466200,20120315,1878,1,
466200,20120319,1878,1,
466200,20120329,1815,3,
466200,20120329,1692,3,
466200,20120329,1878,23,
466200,20120403,1878,1,
466200,20120405,1878,2,
466200,20120412,1878,2,
466200,20120413,1692,1,
466200,20120413,1878,27,
466200,20120424,1878,2,
466200,20120426,1815,4,
466200,20120426,1692,1,
466200,20120426,1878,12,
466200,20120501,1878,2,
466200,20120503,1878,1,
466200,20120512,1878,1,
466200,20120522,1853,1,
466200,20120522,1692,6,
466200,20120522,1878,42,
466200,20120524,1878,2,
466200,20120526,1878,1,
466200,20120605,1878,2,
466200,20120607,1878,2,
466200,20120609,1878,2,
466200,20120612,1878,2,
466200,20120614,1815,1,
466200,20120614,1692,4,
466200,20120614,1878,34,
466200,20120619,1815,1,
466200,20120625,1878,22,
466200,20120705,1815,2,
466200,20120705,1692,5,
466200,20120705,1878,23,
466200,20120710,1878,2,
466200,20120717,1815,4,
466200,20120717,1692,4,
466200,20120717,1878,8,
466200,20120719,1878,2,
466200,20120721,1878,1,
466200,20120726,1815,2,
466200,20120726,1692,3,
466200,20120726,1878,11,
466198,20120116,1815,1,
466198,20120206,1373,1,
466198,20120227,1373,3,
466198,20120312,1373,1,
466198,20120402,1373,1,
466198,20120416,1373,1,
466198,20120423,1815,1,
466198,20120507,1373,1,
466198,20120514,1373,1,
466198,20120611,1373,1,
466198,20120625,1373,2,
466198,20120716,1373,1,
466197,20120102,1373,1,
466197,20120109,1373,1,
466197,20120116,1373,1,
466197,20120127,1373,1,
466197,20120130,1373,1,
466197,20120210,1373,3,
466197,20120213,1373,1,
466197,20120217,1373,1,
466197,20120224,1373,1,
466197,20120227,1373,1,
466197,20120302,1373,1,
466197,20120305,1373,1,
466197,20120309,1373,1,
466197,20120316,1373,1,
