코드,발송일,유형코드,수량,
466200,20120802,1815,4,
466200,20120802,1692,1,
466200,20120802,1878,18,
466200,20120809,1878,2,
466200,20120814,1815,3,
466200,20120814,1692,3,
466200,20120814,1878,11,
466200,20120821,1878,1,
466200,20120830,1815,3,
466200,20120830,1692,2,
466200,20120830,1878,22,
466200,20120904,1878,1,
466200,20120906,1815,4,
466200,20120906,1692,6,
466200,20120906,1878,27,
466200,20120911,1878,1,
466200,20120918,1853,1,
466200,20120918,1878,17,
466200,20120920,1692,1,
466200,20120925,1878,1,
466200,20120927,1815,1,
466200,20120927,1692,2,
466200,20120927,1878,25,
466200,20121004,1878,2,
466200,20121009,1878,2,
466200,20121011,1853,2,
466200,20121011,1815,4,
466200,20121011,1692,2,
466200,20121011,1878,20,
466200,20121016,1815,5,
466200,20121016,1692,4,
466200,20121016,1878,11,
466200,20121018,1878,1,
466200,20121023,1878,20,
466200,20121027,1815,1,
466200,20121103,1692,1,
466200,20121103,1878,21,
466200,20121103,1627,1,
466200,20121113,1853,1,
466200,20121113,1815,2,
466200,20121113,1692,1,
466200,20121113,1878,18,
466200,20121123,1815,8,
466200,20121123,1041,1,
466200,20121123,1878,23,
466200,20121123,1627,2,
466200,20121205,1878,3,
466200,20121207,1815,4,
466200,20121207,1878,12,
466200,20121218,1815,3,
466200,20121218,1878,20,
466198,20120806,1373,4,
466198,20120910,1373,1,
466198,20121008,1373,1,
466198,20121105,1373,1,
466198,20121112,1373,6,
466198,20121126,1373,1,
466198,20121217,1373,1,
466197,20120806,1373,1,
466197,20120813,1373,1,
466197,20120820,1373,4,
466197,20120827,1373,1,
466197,20120903,1373,1,
466197,20120910,1373,1,
466197,20120924,1373,1,
466197,20121008,1373,1,
466197,20121015,1373,1,
466197,20121022,1373,8,
466197,20121029,1373,1,
466197,20121105,1373,5,
466197,20121112,1373,1,
466197,20121119,1373,1,
466197,20121126,1373,1,
466197,20121203,1373,1,
466197,20121210,1373,1,
466197,20121217,1373,1,
466197,20121224,1373,1,
466197,20121231,1373,1,
466196,20120808,1373,16,
466196,20120905,1373,1,
466196,20120919,1373,18,
466196,20121010,1373,4,
466196,20121031,1373,24,
466196,20121115,1373,1,
466196,20121128,1373,22,
466196,20121212,1373,14,
466195,20121211,1815,1,
466189,20120816,1878,1,
466189,20120821,1878,1,
466189,20120830,1878,2,
466189,20120906,1878,1,
466189,20120911,1878,1,
466189,20120913,1878,1,
466189,20120920,1878,1,
466189,20120925,1878,1,
466189,20121009,1878,1,
466189,20121016,1878,1,
466189,20121018,1878,1,
466189,20121025,1878,3,
466189,20121113,1878,1,
466189,20121212,1878,3,
466189,20121218,1878,1,
466189,20121226,1878,1,
466188,20120818,1041,1,
466188,20120913,1041,1,
466188,20121013,1041,1,
466188,20121113,1041,4,
466188,20121220,1041,1,
466185,20120827,1627,1,
466185,20120827,1891,1,
466185,20120913,1878,1,
466185,20120913,1627,1,
466185,20120927,1878,1,
466185,20121015,1878,1,
466185,20121119,1878,1,
466185,20121217,1627,2,
466185,20121228,1041,1,
466184,20120807,1041,9,
466184,20120811,1815,2,
466184,20120811,1041,17,
466184,20120811,1878,1,
466184,20120818,1041,15,
466184,20120823,1041,24,
466184,20120828,1041,43,
466184,20120831,1041,9,
466184,20120904,1815,1,
466184,20120904,1041,35,
466184,20120908,1815,3,
466184,20120908,1041,46,
466184,20120908,1878,1,
466184,20120911,1041,2,
466184,20120915,1041,20,
466184,20120919,1041,23,
466184,20120922,1041,38,
466184,20120928,1815,4,
466184,20120928,1041,21,
466184,20121003,1041,12,
466184,20121006,1815,2,
466184,20121006,1041,29,
466184,20121013,1815,3,
466184,20121013,1041,40,
466184,20121020,1041,33,
466184,20121027,1815,1,
466184,20121027,1041,75,
466184,20121103,1041,37,
466184,20121107,1041,40,
466184,20121110,1041,31,
466184,20121113,1041,26,
466184,20121117,1041,45,
466184,20121121,1041,14,
466184,20121124,1041,24,
466184,20121128,1041,23,
466184,20121205,1041,71,
466184,20121211,1815,1,
466184,20121211,1041,36,
466184,20121214,1041,31,
466184,20121218,1815,1,
466184,20121218,1041,42,
466184,20121222,1815,3,
466184,20121222,1041,20,
466184,20121226,1815,4,
466184,20121226,1041,10,
466184,20121229,1815,5,
466184,20121229,1041,34,
466183,20120814,1692,1,
466183,20120814,1041,2,
466183,20120821,1041,1,
466183,20120830,1041,1,
466183,20121005,1041,1,
466183,20121029,1041,2,
466183,20121114,1041,1,
466183,20121224,1041,1,
466177,20121128,1815,7,
466177,20121129,1815,9,
466177,20121130,1815,9,
466177,20121201,1815,10,
466177,20121203,1815,28,
466177,20121204,1815,31,
466177,20121205,1815,31,
466177,20121206,1815,26,
466177,20121207,1815,12,
466177,20121208,1815,27,
466177,20121211,1815,32,
466177,20121212,1815,2,
466177,20121213,1815,6,
466177,20121222,1815,15,
466176,20120822,1692,8,
466176,20121123,1815,4,
466175,20120825,1041,2,
466172,20120806,1815,3,
466172,20120903,1815,2,
466172,20121016,1815,1,
466172,20121026,1815,10,
466172,20121109,1815,2,
466172,20121227,1815,2,
466166,20121126,1815,30,
466166,20121203,1815,26,
466162,20120817,1815,10,
466161,20120820,1815,1,
466161,20120820,1692,2,
466161,20120924,1815,2,
466161,20121018,1815,8,
466161,20121025,1815,3,
466161,20121108,1815,1,
466161,20121115,1815,2,
466161,20121115,1692,3,
466161,20121217,1815,1,
466161,20121220,1815,1,
466161,20121224,1815,4,
466160,20120807,1692,2,
466160,20120814,1815,1,
466160,20120814,1692,6,
466160,20120828,1692,1,
466160,20120904,1692,1,
466160,20120911,1692,4,
466160,20120925,1692,2,
466160,20120927,1815,1,
466160,20120927,1692,1,
466160,20121002,1692,1,
466160,20121009,1692,1,
466160,20121016,1692,1,
466160,20121023,1692,1,
466160,20121030,1692,1,
466160,20121113,1815,1,
466160,20121127,1692,1,
466160,20121207,1692,1,
466160,20121214,1692,1,
466160,20121226,1692,3,
466158,20120802,1815,8,
466158,20120807,1815,18,
466158,20120809,1815,9,
466158,20120809,1692,1,
466158,20120811,1025,4,
466158,20120814,1815,11,
466158,20120815,1815,5,
466158,20120816,1815,8,
466158,20120816,1041,1,
466158,20120818,1815,3,
466158,20120821,1815,10,
466158,20120823,1815,7,
466158,20120825,1815,7,
466158,20120828,1815,17,
466158,20120830,1815,4,
466158,20120901,1815,6,
466158,20120904,1815,9,
466158,20120906,1815,5,
466158,20120908,1815,2,
466158,20120911,1815,8,
466158,20120913,1815,4,
466158,20120915,1815,2,
466158,20120918,1815,3,
466158,20120920,1815,8,
466158,20120922,1815,5,
466158,20120925,1815,8,
466158,20120927,1815,9,
466158,20120929,1815,1,
466158,20121003,1815,9,
466158,20121004,1692,4,
466158,20121006,1815,1,
466158,20121009,1692,7,
466158,20121011,1815,6,
466158,20121013,1815,5,
466158,20121016,1815,1,
466158,20121020,1815,3,
466158,20121023,1815,1,
466158,20121025,1815,3,
466158,20121027,1815,1,
466158,20121030,1815,4,
466158,20121101,1815,2,
466158,20121103,1815,1,
466158,20121106,1815,4,
466158,20121108,1815,1,
466158,20121110,1815,6,
466158,20121113,1815,4,
466158,20121115,1815,2,
466158,20121116,1815,1,
466158,20121117,1815,2,
466158,20121121,1815,2,
466158,20121122,1815,1,
466158,20121124,1815,8,
466158,20121127,1815,4,
466158,20121129,1815,8,
466158,20121201,1815,1,
466158,20121204,1815,3,
466158,20121206,1815,4,
466158,20121208,1815,6,
466158,20121211,1815,2,
466158,20121213,1815,2,
466158,20121215,1815,1,
466158,20121218,1815,8,
466158,20121220,1815,1,
466158,20121221,1815,1,
466158,20121227,1815,6,
466158,20121229,1815,1,
466158,20121231,1815,3,
466156,20121005,1815,1,
466151,20120802,1692,1,
466151,20120811,1692,1,
466151,20120914,1815,1,
466151,20120927,1692,3,
466151,20121015,1692,2,
466151,20121023,1692,1,
466151,20121030,1692,4,
466151,20121106,1692,1,
466151,20121110,1692,3,
466151,20121113,1815,1,
466151,20121124,1815,2,
466151,20121214,1692,3,
466151,20121225,1692,1,
466149,20120810,1373,16,
466149,20120818,1373,7,
466149,20120826,1373,13,
466149,20120908,1373,16,
466149,20120922,1373,14,
466149,20120923,1373,18,
466149,20120929,1373,6,
466149,20121012,1373,15,
466149,20121026,1373,22,
466149,20121103,1373,9,
466149,20121112,1373,20,
466149,20121123,1373,19,
466149,20121203,1373,10,
466149,20121208,1373,26,
466149,20121213,1373,20,
466149,20121222,1373,17,
466149,20121229,1373,19,
466148,20120803,1373,10,
466148,20120914,1373,4,
466148,20121005,1373,4,
466148,20121123,1373,9,
466148,20121228,1373,20,
466147,20121228,1355,3,
466146,20120801,1815,4,
466146,20120801,1692,3,
466146,20120801,1261,2,
466146,20120802,1815,11,
466146,20120802,1261,11,
466146,20120803,1815,5,
466146,20120803,1261,9,
466146,20120804,1815,3,
466146,20120806,1815,21,
466146,20120806,1261,13,
466146,20120807,1815,3,
466146,20120808,1815,7,
466146,20120808,1692,1,
466146,20120808,1261,8,
466146,20120809,1815,6,
466146,20120810,1815,34,
466146,20120810,1261,25,
466146,20120811,1815,11,
466146,20120811,1261,8,
466146,20120814,1815,10,
466146,20120814,1261,6,
466146,20120815,1815,3,
466146,20120816,1815,2,
466146,20120816,1261,7,
466146,20120817,1815,13,
466146,20120817,1261,5,
466146,20120818,1815,9,
466146,20120818,1261,5,
466146,20120820,1815,9,
466146,20120820,1261,7,
466146,20120821,1815,10,
466146,20120821,1261,3,
466146,20120822,1815,8,
466146,20120822,1261,10,
466146,20120823,1815,7,
466146,20120823,1261,2,
466146,20120824,1815,18,
466146,20120824,1261,2,
466146,20120825,1815,10,
466146,20120825,1261,3,
466146,20120827,1815,17,
466146,20120827,1261,8,
466146,20120828,1815,18,
466146,20120828,1261,3,
466146,20120829,1815,21,
466146,20120829,1261,9,
466146,20120830,1815,4,
466146,20120830,1261,8,
466146,20120831,1815,15,
466146,20120831,1261,3,
466146,20120903,1815,23,
466146,20120903,1261,14,
466146,20120904,1815,16,
466146,20120904,1261,3,
466146,20120905,1815,27,
466146,20120905,1261,5,
466146,20120906,1815,13,
466146,20120906,1261,6,
466146,20120907,1815,12,
466146,20120907,1261,5,
466146,20120908,1815,15,
466146,20120908,1261,5,
466146,20120910,1815,3,
466146,20120911,1815,13,
466146,20120911,1261,2,
466146,20120912,1815,3,
466146,20120913,1815,47,
466146,20120913,1261,12,
466146,20120914,1815,21,
466146,20120914,1261,6,
466146,20120915,1815,22,
466146,20120915,1261,2,
466146,20120917,1815,5,
466146,20120917,1261,7,
466146,20120918,1815,21,
466146,20120918,1261,3,
466146,20120919,1815,33,
466146,20120919,1656,1,
466146,20120919,1261,6,
466146,20120920,1815,7,
466146,20120920,1261,3,
466146,20120921,1815,22,
466146,20120921,1261,6,
466146,20120922,1815,54,
466146,20120922,1261,3,
466146,20120924,1815,3,
466146,20120924,1261,2,
466146,20120925,1815,23,
466146,20120925,1261,4,
466146,20120926,1815,30,
466146,20120926,1261,7,
466146,20120927,1815,10,
466146,20120927,1261,3,
466146,20120928,1815,17,
466146,20120928,1261,3,
466146,20121002,1815,3,
466146,20121003,1815,2,
466146,20121003,1261,1,
466146,20121004,1815,15,
466146,20121004,1261,19,
466146,20121005,1815,5,
466146,20121005,1261,1,
466146,20121006,1815,12,
466146,20121006,1261,11,
466146,20121008,1815,1,
466146,20121009,1815,14,
466146,20121009,1261,18,
466146,20121010,1815,8,
466146,20121010,1261,1,
466146,20121011,1815,27,
466146,20121011,1261,15,
466146,20121012,1815,12,
466146,20121012,1261,3,
466146,20121013,1815,7,
466146,20121013,1878,1,
466146,20121015,1815,12,
466146,20121015,1261,1,
466146,20121016,1815,6,
466146,20121017,1815,15,
466146,20121017,1261,19,
466146,20121018,1815,5,
466146,20121018,1261,3,
466146,20121019,1815,11,
466146,20121019,1261,10,
466146,20121020,1815,6,
466146,20121022,1815,4,
466146,20121022,1261,2,
466146,20121023,1815,8,
466146,20121023,1261,3,
466146,20121024,1815,17,
466146,20121024,1261,10,
466146,20121025,1815,16,
466146,20121025,1261,10,
466146,20121026,1815,14,
466146,20121026,1261,5,
466146,20121027,1261,3,
466146,20121029,1815,12,
466146,20121029,1261,3,
466146,20121030,1815,18,
466146,20121030,1261,4,
466146,20121031,1815,7,
466146,20121031,1261,11,
466146,20121101,1815,4,
466146,20121101,1261,14,
466146,20121102,1815,16,
466146,20121102,1261,5,
466146,20121103,1815,5,
466146,20121105,1815,9,
466146,20121105,1261,14,
466146,20121106,1815,11,
466146,20121106,1261,5,
466146,20121107,1815,7,
466146,20121107,1261,2,
466146,20121108,1815,18,
466146,20121108,1261,13,
466146,20121109,1815,24,
466146,20121109,1261,5,
466146,20121110,1815,3,
466146,20121112,1815,21,
466146,20121112,1692,1,
466146,20121112,1261,7,
466146,20121113,1815,23,
466146,20121113,1261,6,
466146,20121114,1815,8,
466146,20121114,1261,8,
466146,20121115,1815,4,
466146,20121116,1815,13,
466146,20121116,1261,5,
466146,20121117,1815,2,
466146,20121117,1261,4,
466146,20121119,1815,1,
466146,20121120,1815,17,
466146,20121120,1261,5,
466146,20121121,1815,31,
466146,20121121,1261,19,
466146,20121122,1815,6,
466146,20121122,1261,8,
466146,20121123,1815,5,
466146,20121123,1261,6,
466146,20121124,1815,17,
466146,20121124,1261,3,
466146,20121126,1815,4,
466146,20121126,1261,1,
466146,20121127,1815,16,
466146,20121127,1261,6,
466146,20121128,1815,29,
466146,20121128,1261,5,
466146,20121129,1815,10,
466146,20121129,1261,6,
466146,20121130,1815,10,
466146,20121130,1261,5,
466146,20121201,1815,3,
466146,20121201,1261,2,
466146,20121203,1815,8,
466146,20121203,1627,6,
466146,20121204,1815,12,
466146,20121204,1261,6,
466146,20121205,1815,11,
466146,20121205,1261,8,
466146,20121206,1815,7,
466146,20121206,1261,8,
466146,20121207,1815,18,
466146,20121207,1261,2,
466146,20121210,1815,8,
466146,20121211,1815,30,
466146,20121211,1261,19,
466146,20121212,1815,13,
466146,20121212,1261,4,
466146,20121213,1815,7,
466146,20121213,1261,6,
466146,20121214,1815,2,
466146,20121215,1815,17,
466146,20121215,1261,16,
466146,20121217,1815,5,
466146,20121217,1261,3,
466146,20121218,1815,12,
466146,20121218,1261,7,
466146,20121219,1815,13,
466146,20121219,1261,11,
466146,20121220,1815,14,
466146,20121220,1261,17,
466146,20121222,1815,36,
466146,20121222,1261,20,
466146,20121224,1815,2,
466146,20121226,1815,15,
466146,20121226,1261,1,
466146,20121227,1815,44,
466146,20121227,1261,24,
466146,20121228,1815,17,
466146,20121228,1261,1,
466146,20121229,1815,17,
466146,20121229,1261,3,
466146,20121231,1815,1,
466137,20121124,1041,14,
466137,20121124,1261,9,
466137,20121226,1041,12,
466137,20121226,1261,4,
466136,20120901,1041,3,
466135,20120802,1815,2,
466135,20120803,1041,5,
466135,20120807,1041,2,
466135,20120816,1815,2,
466135,20120816,1041,1,
