코드,발송일,유형코드,수량,
466200,20100809,1878,21,
466200,20100816,1878,13,
466200,20100830,1878,35,
466200,20100830,1627,1,
466200,20100913,1878,19,
466200,20100920,1878,14,
466200,20101004,1878,13,
466200,20101014,1692,1,
466200,20101014,1878,44,
466200,20101028,1878,29,
466200,20101101,1878,1,
466200,20101111,1878,23,
466200,20101125,1853,1,
466200,20101125,1878,23,
466200,20101209,1878,26,
466200,20101216,1878,1,
466200,20101223,1878,30,
466200,20101223,1627,1,
466200,20101227,1878,1,
466198,20100809,1373,6,
466198,20100814,1373,1,
466198,20100818,1373,1,
466198,20100823,1373,3,
466198,20100828,1373,1,
466198,20100908,1373,1,
466198,20101004,1373,4,
466198,20101120,1373,4,
466198,20101124,1373,1,
466198,20101129,1373,1,
466198,20101204,1373,1,
466198,20101208,1373,3,
466198,20101213,1373,1,
466198,20101227,1373,1,
466197,20100809,1373,6,
466197,20100823,1373,2,
466197,20100906,1373,4,
466197,20100920,1373,5,
466197,20101011,1373,2,
466197,20101018,1373,2,
466197,20101101,1373,2,
466197,20101117,1373,4,
466197,20101122,1373,1,
466197,20101129,1373,2,
466197,20101206,1373,3,
466197,20101213,1373,2,
466197,20101227,1373,3,
466196,20100804,1373,4,
466196,20100811,1373,2,
466196,20100825,1373,5,
466196,20100901,1373,2,
466196,20101006,1373,11,
466196,20101013,1373,1,
466196,20101020,1373,6,
466196,20101027,1373,7,
466196,20101103,1373,6,
466196,20101110,1373,7,
466196,20101117,1373,6,
466196,20101124,1373,8,
466196,20101201,1373,2,
466196,20101208,1373,2,
466196,20101215,1373,8,
466196,20101229,1373,6,
466189,20100802,1878,5,
466189,20100823,1878,4,
466189,20100830,1878,1,
466189,20100906,1878,1,
466189,20101007,1878,5,
466189,20101011,1878,1,
466189,20101028,1878,1,
466189,20101220,1878,1,
466188,20101030,1041,4,
466188,20101030,1797,1,
466188,20101125,1041,4,
466185,20100817,1878,2,
466185,20100817,1627,4,
466185,20100902,1878,7,
466185,20100902,1627,18,
466185,20100924,1627,1,
466185,20101130,1878,2,
466185,20101130,1627,1,
466184,20100803,1041,1,
466184,20100805,1041,1,
466184,20100807,1815,1,
466184,20100810,1041,1,
466184,20100812,1041,1,
466184,20100814,1041,1,
466184,20100817,1041,1,
466184,20100819,1041,14,
466184,20100821,1815,1,
466184,20100824,1041,1,
466184,20100826,1041,14,
466184,20100828,1815,1,
466184,20100831,1815,1,
466184,20100902,1815,1,
466184,20100904,1815,1,
466184,20100907,1041,1,
466184,20100909,1815,1,
466184,20100911,1815,1,
466184,20100914,1041,1,
466184,20100916,1041,46,
466184,20100918,1815,1,
466184,20100918,1041,1,
466184,20100925,1815,1,
466184,20100928,1041,1,
466184,20100930,1041,1,
466184,20101002,1815,1,
466184,20101005,1041,1,
466184,20101007,1041,1,
466184,20101009,1041,1,
466184,20101012,1041,1,
466184,20101014,1041,10,
466184,20101016,1815,1,
466184,20101019,1041,1,
466184,20101021,1041,1,
466184,20101023,1815,1,
466184,20101026,1041,1,
466184,20101028,1815,6,
466184,20101028,1656,1,
466184,20101028,1041,10,
466184,20101030,1041,1,
466184,20101102,1041,1,
466184,20101104,1041,10,
466184,20101106,1041,1,
466184,20101109,1041,1,
466184,20101111,1815,5,
466184,20101111,1041,12,
466184,20101113,1815,1,
466184,20101116,1041,1,
466184,20101118,1041,16,
466184,20101120,1815,1,
466184,20101123,1041,1,
466184,20101125,1041,17,
466184,20101127,1815,1,
